Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
100.00      0.01     0.01      873    11.45    11.45  __gnu_cxx::__normal_iterator<std::future<sf::Image>*, std::vector<std::future<sf::Image>, std::allocator<std::future<sf::Image> > > >::operator++()
  0.00      0.01     0.00 209902264     0.00     0.00  trig::Vector2<int>::Vector2(int, int)
  0.00      0.01     0.00 195095688     0.00     0.00  MyWorld::get_pixel_color(trig::Vector2<int> const&, RaycastEngine::CellSide, float, float, float)
  0.00      0.01     0.00 186134655     0.00     0.00  trig::Vector2<float>::operator trig::Vector2<int>() const
  0.00      0.01     0.00 57869998     0.00     0.00  RaycastEngine::sample_image(float, float, sf::Image const&)
  0.00      0.01     0.00  5454356     0.00     0.00  DynamicGrid<bool>::out_of_bounds(int, int) const
  0.00      0.01     0.00  5362486     0.00     0.00  MyWorld::out_of_bounds(trig::Vector2<int> const&)
  0.00      0.01     0.00  5362022     0.00     0.00  DynamicGrid<bool>::get_width() const
  0.00      0.01     0.00  5340855     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.01     0.00  5334303     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.01     0.00  5329406     0.00     0.00  DynamicGrid<bool>::get_height() const
  0.00      0.01     0.00  5326409     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int)
  0.00      0.01     0.00  5322174     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long long) const
  0.00      0.01     0.00  5320347     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.01     0.00  5318550     0.00     0.00  std::_Bit_const_iterator::operator*() const
  0.00      0.01     0.00  5311844     0.00     0.00  DynamicGrid<bool>::index(int, int) const
  0.00      0.01     0.00  5287599     0.00     0.00  MyWorld::is_solid(trig::Vector2<int> const&)
  0.00      0.01     0.00  1625274     0.00     0.00  trig::Vector2<float>::Vector2(float, float)
  0.00      0.01     0.00   527176     0.00     0.00  std::__array_traits<float, 2ull>::_S_ref(float const (&) [2], unsigned long long)
  0.00      0.01     0.00   468094     0.00     0.00  std::array<float, 2ull>::operator[](unsigned long long)
  0.00      0.01     0.00   460205     0.00     0.00  trig::Vector2<float>::operator+(trig::Vector2<float> const&) const
  0.00      0.01     0.00   450018     0.00     0.00  std::abs(float)
  0.00      0.01     0.00   285610     0.00     0.00  trig::Vector2<float>::operator*(float) const
  0.00      0.01     0.00   272273     0.00     0.00  trig::Vector2<int>::operator trig::Vector2<float>() const
  0.00      0.01     0.00   263755     0.00     0.00  trig::Vector2<float>::Vector2()
  0.00      0.01     0.00   247519     0.00     0.00  trig::Vector2<float>::Vector2(float)
  0.00      0.01     0.00   227110     0.00     0.00  trig::Vector2<int>::Vector2()
  0.00      0.01     0.00   202663     0.00     0.00  RaycastEngine::get_distance(float)
  0.00      0.01     0.00   122059     0.00     0.00  main
  0.00      0.01     0.00    44468     0.00     0.00  __gcc_deregister_frame
  0.00      0.01     0.00    18969     0.00     0.00  std::__future_base::_Result_base::_Deleter&& std::forward<std::__future_base::_Result_base::_Deleter>(std::remove_reference<std::__future_base::_Result_base::_Deleter>::type&)
  0.00      0.01     0.00     8607     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      0.01     0.00     7799     0.00     0.00  std::_Head_base<1ull, std::__future_base::_Result_base::_Deleter, true>::_M_head(std::_Head_base<1ull, std::__future_base::_Result_base::_Deleter, true>&)
  0.00      0.01     0.00     7794     0.00     0.00  std::_Tuple_impl<1ull, std::__future_base::_Result_base::_Deleter>::_M_head(std::_Tuple_impl<1ull, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.01     0.00     6931     0.00     0.00  std::_Tuple_impl<0ull, std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>::_M_head(std::_Tuple_impl<0ull, std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.01     0.00     6916     0.00     0.00  std::_Head_base<0ull, std::__future_base::_Result_base*, false>::_M_head(std::_Head_base<0ull, std::__future_base::_Result_base*, false>&)
  0.00      0.01     0.00     6850     0.00     0.00  operator new(unsigned long long, void*)
  0.00      0.01     0.00     6042     0.00     0.00  std::allocator<int> const& std::forward<std::allocator<int> const&>(std::remove_reference<std::allocator<int> const&>::type&)
  0.00      0.01     0.00     5179     0.00     0.00  std::__future_base::_Result_base*& std::forward<std::__future_base::_Result_base*&>(std::remove_reference<std::__future_base::_Result_base*&>::type&)
  0.00      0.01     0.00     5171     0.00     0.00  std::_Head_base<0ull, std::__future_base::_Result<sf::Image>*, false>::_M_head(std::_Head_base<0ull, std::__future_base::_Result<sf::Image>*, false>&)
  0.00      0.01     0.00     5171     0.00     0.00  std::_Tuple_impl<0ull, std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter>::_M_head(std::_Tuple_impl<0ull, std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.01     0.00     5159     0.00     0.00  std::__future_base::_Result<sf::Image>*& std::__get_helper<0ull, std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter>(std::_Tuple_impl<0ull, std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.01     0.00     5132     0.00     0.00  std::tuple_element<0ull, std::tuple<std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter> >::type& std::get<0ull, std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter>(std::tuple<std::__future_base::_Result<sf::Image>*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.01     0.00     5083     0.00     0.00  std::__uniq_ptr_impl<std::__future_base::_Result<sf::Image>, std::__future_base::_Result_base::_Deleter>::_M_ptr()
  0.00      0.01     0.00     5073     0.00     0.00  std::remove_reference<bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>::type&& std::move<bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>(bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation))
  0.00      0.01     0.00     5043     0.00     0.00  std::remove_reference<void (*&)(std::_Any_data const&)>::type&& std::move<void (*&)(std::_Any_data const&)>(void (*&)(std::_Any_data const&))
  0.00      0.01     0.00     5004     0.00     0.00  std::remove_reference<std::_Any_data&>::type&& std::move<std::_Any_data&>(std::_Any_data&)
  0.00      0.01     0.00     4317     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.01     0.00     4317     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count()
  0.00      0.01     0.00     4313     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_swap(std::__shared_count<(__gnu_cxx::_Lock_policy)2>&)
  0.00      0.01     0.00     4302     0.00     0.00  std::_Tuple_impl<0ull, std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>::_M_tail(std::_Tuple_impl<0ull, std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.01     0.00     4272     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      0.01     0.00     3480     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::base() const
